Timestamp,Document Number,Vendor Name,Bill Reference,Status,Message,Row Number
2025-05-08 16:45:51,CIV-000348,,,Success,Successfully processed and updated debit account,6
2025-05-08 16:45:53,CIV-000363,,,Success,Successfully processed and updated debit account,9
2025-05-08 16:45:54,CIV-000366,,,Success,Successfully processed and updated debit account,10
2025-05-08 16:45:55,CIV-000373,,,Success,Successfully processed and updated debit account,11
2025-05-08 16:45:56,CIV-000383,,,Success,Successfully processed and updated debit account,12
2025-05-08 16:45:58,CIV-000385,,,Success,Successfully processed and updated debit account,13
2025-05-08 16:45:59,CIV-000400,,,Success,Successfully processed and updated debit account,14
2025-05-08 16:46:00,CIV-000402,,,Success,Successfully processed and updated debit account,15
2025-05-08 16:46:02,CIV-000403,,,Success,Successfully processed and updated debit account,16
2025-05-08 16:46:04,CIV-000404,,,Success,Successfully processed and updated debit account,17
2025-05-08 16:46:06,CIV-000535,,,Success,Successfully processed and updated debit account,25
2025-05-08 16:46:07,CIV-000576,,,Success,Successfully processed and updated debit account,27
2025-05-08 16:46:08,CIV-000586,,,Success,Successfully processed and updated debit account,28
2025-05-08 16:46:09,CIV-000608,,,Success,Successfully processed and updated debit account,29
2025-05-08 16:46:10,CIV-000609,,,Success,Successfully processed and updated debit account,30
2025-05-08 16:46:11,CIV-000610,,,Success,Successfully processed and updated debit account,31
2025-05-08 16:46:12,CIV-000615,,,Success,Successfully processed and updated debit account,32
2025-05-08 16:46:13,CIV-000616,,,Success,Successfully processed and updated debit account,33
2025-05-08 16:46:14,CIV-000648,,,Success,Successfully processed and updated debit account,38
2025-05-08 16:46:15,CIV-000669,,,Success,Successfully processed and updated debit account,39
2025-05-08 16:46:16,CIV-000699,,,Success,Successfully processed and updated debit account,43
2025-05-08 16:46:17,CIV-00271,,,Success,Successfully processed and updated debit account,2
2025-05-08 16:46:18,CN23040001,,,Success,Invoice created but debit account update failed,40
2025-05-08 16:46:19,CRP1600183,,,Success,Invoice created but debit account update failed,3
2025-05-08 16:46:20,CRP1600267,,,Success,Invoice created but debit account update failed,4
2025-05-08 16:46:21,CRP1700172,,,Success,Invoice created but debit account update failed,5
2025-05-08 16:46:22,CRP1700316,,,Success,Invoice created but debit account update failed,7
2025-05-08 16:46:23,CRP1800132,,,Success,Invoice created but debit account update failed,18
2025-05-08 16:46:24,CRP1800133,,,Success,Invoice created but debit account update failed,19
2025-05-08 16:46:25,CRP1800165,,,Success,Invoice created but debit account update failed,20
2025-05-08 16:46:25,CRP1800319,,,Success,Invoice created but debit account update failed,21
2025-05-08 16:46:27,CRP1900031,,,Success,Invoice created but debit account update failed,22
2025-05-08 16:46:29,CRP1900217,,,Success,Invoice created but debit account update failed,23
2025-05-08 16:46:31,CRP1900268,,,Success,Invoice created but debit account update failed,24
2025-05-08 16:46:33,CRP2000089,,,Success,Invoice created but debit account update failed,26
2025-05-08 16:46:34,CRP2100355,,,Success,Invoice created but debit account update failed,34
2025-05-08 16:46:36,CRP2100367,,,Success,Invoice created but debit account update failed,35
2025-05-08 16:46:37,CRP2200213,,,Success,Invoice created but debit account update failed,37
2025-05-08 16:46:38,CRP2200214,,,Success,Invoice created but debit account update failed,36
2025-05-08 16:46:40,CRP2300195,,,Success,Invoice created but debit account update failed,41
2025-05-08 16:46:42,CRP2400021,,,Success,Invoice created but debit account update failed,44
2025-05-08 16:46:42,CRP2400243,,,Success,Invoice created but debit account update failed,47
2025-05-08 16:46:43,CRP2400297,,,Success,Invoice created but debit account update failed,46
2025-05-08 16:46:44,CRP2400298,,,Success,Invoice created but debit account update failed,45
2025-05-08 16:46:46,CRP2400404,,,Success,Invoice created but debit account update failed,50
2025-05-08 16:46:48,CRP2400405,,,Success,Invoice created but debit account update failed,51
2025-05-08 16:46:50,IV-2413218,,,Success,Successfully processed and updated debit account,48
2025-05-08 16:46:52,IV-2413219,,,Success,Successfully processed and updated debit account,49
2025-05-08 16:46:54,RV00000194,,,Success,Successfully processed and updated debit account,8
2025-05-08 16:46:56,SMJV6612041,,,Success,Successfully processed and updated debit account,42
