Number,expense_account,status,message
CR24110027,214102,updated,
CR24110026,214102,updated,
CR24110025,214102,updated,
CR24110024,214102,updated,
CR24110023,214102,updated,
CR24110022,214102,updated,
CR24110021,214102,updated,
CR24110020,214102,updated,
CR24110018,214102,updated,
CR24110017,214102,updated,
CR24110016,214102,updated,
CR24110015,214102,updated,
CR24110014,214102,updated,
CR24110013,214102,updated,
CR24110012,214102,updated,
CR24110011,214102,updated,
CR24110010,214102,updated,
CR24110009,214102,updated,
CR24110008,214102,updated,
CR24110007,214102,updated,
CR24110006,214102,updated,
CR24110005,214102,updated,
CR24110004,214102,updated,
CR24110003,214102,updated,
CR24110002,214102,updated,
CR24110001,214102,updated,
CR24100036,214102,updated,
CR24100035,214102,updated,
CR24100034,214102,updated,
CR24100033,214102,updated,
CR24100030,214102,updated,
CR24100029,214102,updated,
CR24100023,214102,updated,
CR24100022,214102,updated,
CR24100021,214102,updated,
CR24100020,214102,updated,
CR24100019,214102,updated,
CR24100018,214102,updated,
CR24100017,214102,updated,
CR24100016,214102,updated,
CR24100015,214102,updated,
CR24100014,214102,updated,
CR24100013,214102,updated,
CR24100012,214102,updated,
CR24100011,214102,updated,
CR24100010,214102,updated,
CR24100009,214102,updated,
CR24100008,214102,updated,
CR24100007,214102,updated,
CR24100006,214102,updated,
CR24100005,214102,updated,
CR24100004,214102,updated,
CR24100003,214102,updated,
CR24100002,214102,updated,
CR24100001,214102,updated,
CR24090053,214102,updated,
CR24090052,214102,updated,
CR24090051,214102,updated,
CR24090050,214102,updated,
CR24090049,214102,updated,
CR24090048,214102,updated,
CR24090047,214102,updated,
CR24090046,214102,updated,
CR24090045,214102,updated,
CR24090042,214102,updated,
CR24090041,214102,updated,
CR24090040,214102,updated,
CR24090035,214102,updated,
CR24090034,214102,updated,
CR24090033,214102,updated,
CR24090032,214102,updated,
CR24090031,214102,updated,
CR24090030,214102,updated,
CR24090029,214102,updated,
CR24090028,214102,updated,
CR24090027,214102,updated,
CR24090024,214102,updated,
CR24090023,214102,updated,
CR24090022,214102,updated,
CR24090021,214102,updated,
CR24090020,214102,updated,
CR24090019,214102,updated,
CR24090018,214102,updated,
CR24090017,214102,updated,
CR24090016,214102,updated,
CR24090015,214102,updated,
CR24090014,214102,updated,
CR24090013,214102,updated,
CR24090012,214102,updated,
CR24090011,214102,updated,
CR24090010,214102,updated,
CR24090009,214102,updated,
CR24090008,214102,updated,
CR24090007,214102,updated,
CR24090006,214102,updated,
CR24090005,214102,updated,
CR24090004,214102,updated,
CR24090003,214102,updated,
CR24090002,214102,updated,
CR24090001,214102,updated,
CR24080071,214102,updated,
CR24080070,214102,updated,
CR24080069,214102,updated,
CR24080068,214102,updated,
CR24080067,214102,updated,
