Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-07 15:54:00,Bill,BGD-001126,บริษัท ที กรุ๊ป เอ็นจิเนียแอนด์แมชชีนทูล จำกัด (สำนักงานใหญ่),Success,Successfully processed,46
2025-11-07 15:54:01,Bill,BGD-001148,บริษัท ที กรุ๊ป เอ็นจิเนียแอนด์แมชชีนทูล จำกัด (สำนักงานใหญ่),Success,Successfully processed,44
2025-11-07 15:54:01,Bill,BGD-001156,บริษัท พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,50
2025-11-07 15:54:02,Bill,BGD-001160,บริษัท สตาร์มาร์คแมนูแฟคเชอร์ริ่ง จำกัด (สำนักงานใหญ่),Success,Successfully processed,37
2025-11-07 15:54:03,Bill,BGD-001200,เจ้าหนี้การค้าในประเทศ,Success,Successfully processed,35
2025-11-07 15:54:04,Bill,BGD-6709001,บริษัท คาซ่า อินโนเทค จำกัด (สำนักงานใหญ่),Success,Successfully processed,4
2025-11-07 15:54:04,Bill,BRO-000001,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),Success,Successfully processed,10
2025-11-07 15:54:05,Bill,BRO-000057,บริษัท บัณฑิต แอนด์ แมชชีน สเปค จำกัด (สำนักงานใหญ่),Success,Successfully processed,15
2025-11-07 15:54:06,Bill,BRO-000350,บริษัท พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,14
2025-11-07 15:54:07,Bill,BRO-000387,บริษัท พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,38
2025-11-07 15:54:07,Bill,GD-0043141,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,27
2025-11-07 15:54:08,Bill,GD-0043142,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,28
2025-11-07 15:54:09,Bill,GD-0043201,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,29
2025-11-07 15:54:10,Bill,GD-0043202,บริษัท วี พี เค ยูไนเต็ด จำกัด (สำนักงานใหญ่),Success,Successfully processed,30
