2025-12-02 09:51:48,220 - INFO - Log file created: Varify_partner/logs\partner_verify_20251202_095148.log
2025-12-02 09:51:48,892 - INFO - Successfully connected to Odoo as user ID: 2
2025-12-02 09:51:49,307 - INFO - Starting verification from index 0
2025-12-02 09:51:49,307 - INFO - Total records to process: 275
2025-12-02 09:51:49,307 - INFO - Processing batch 0-100 of 275
2025-12-02 09:51:52,122 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:52,262 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:52,262 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:52,439 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:52,439 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:52,575 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:52,576 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:52,705 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:52,706 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:52,846 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:52,847 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,013 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:53,014 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:53,146 - INFO - Partner found by old_code_partner: SHP001 - ID: 3712, Name: ห้างหุ้นส่วนจำกัด สหไพบูลย์ สุขภัณฑ์
2025-12-02 09:51:53,146 - INFO - Partner found: SHP001 - ID: 3712, Name: ห้างหุ้นส่วนจำกัด สหไพบูลย์ สุขภัณฑ์
2025-12-02 09:51:53,281 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,282 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,414 - INFO - Partner found by old_code_partner: SBD001 - ID: 1295, Name: บริษัท สบายดีโฮม จำกัด
2025-12-02 09:51:53,414 - INFO - Partner found: SBD001 - ID: 1295, Name: บริษัท สบายดีโฮม จำกัด
2025-12-02 09:51:53,568 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,568 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,739 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,740 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:53,881 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:53,881 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:54,013 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,013 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,176 - INFO - Partner found by old_code_partner: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:51:54,177 - INFO - Partner found: MRH001 - ID: 3710, Name: บริษัท เมืองเลยบิ๊กโฮม จำกัด
2025-12-02 09:51:54,320 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,320 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,453 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,454 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,585 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:54,585 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:54,751 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,753 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-12-02 09:51:54,910 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:54,910 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:55,061 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:55,062 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-12-02 09:51:55,209 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-12-02 09:51:55,210 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
