Timestamp,Document Type,Document Number,Customer Name,Status,Message,Row Number
2025-11-23 21:35:28,Invoice,,,Error,Failed to process,2593
2025-11-23 21:35:28,Bill,,,Error,Error processing document: [Errno 32] Broken pipe,2593
2025-11-23 21:35:29,Invoice,21/2/4611,Haitam Trading&Contruction,Success,Successfully processed,2592
2025-11-23 21:35:29,Bill,21/2/4611,,Error,Error processing document: [Errno 32] Broken pipe,2592
2025-11-23 21:35:31,Invoice,25/3/4611,Haitam Trading&Contruction,Success,Successfully processed,2591
2025-11-23 21:35:31,Bill,25/3/4611,,Error,Error processing document: [Errno 32] Broken pipe,2591
2025-11-23 21:35:32,Invoice,ADJ6612009,บริษัท เดอ ฟอเรส แลนด์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,2590
2025-11-23 21:35:32,Bill,ADJ6612009,,Error,Error processing document: [Errno 32] Broken pipe,2590
2025-11-23 21:35:35,Invoice,BIV-240067,บริษัท แอลเอช แอสเซท จำกัด,Success,Successfully processed,2589
2025-11-23 21:35:35,Bill,BIV-240067,,Error,Error processing document: [Errno 32] Broken pipe,2589
2025-11-23 21:35:37,Invoice,BIV-240131,บริษัท ก้าวต่อไป เฮ้าส์แอนด์ลิฟวิง จำกัด สำนักงานใหญ่,Success,Successfully processed,2588
2025-11-23 21:35:37,Bill,BIV-240131,,Error,Error processing document: [Errno 32] Broken pipe,2588
2025-11-23 21:35:38,Invoice,BIV-240284,บริษัท ช.ชยพลก่อสร้าง จำกัด (สำนักงานใหญ่),Success,Successfully processed,2587
2025-11-23 21:35:38,Bill,BIV-240284,,Error,Error processing document: [Errno 32] Broken pipe,2587
2025-11-23 21:35:40,Invoice,BIV-240285,บริษัท ช.ชยพลก่อสร้าง จำกัด (สำนักงานใหญ่),Success,Successfully processed,2586
2025-11-23 21:35:40,Bill,BIV-240285,,Error,Error processing document: [Errno 32] Broken pipe,2586
2025-11-23 21:35:41,Invoice,BIV-240465,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2585
2025-11-23 21:35:41,Bill,BIV-240465,,Error,Error processing document: [Errno 32] Broken pipe,2585
2025-11-23 21:35:42,Invoice,BIV-240498,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2584
2025-11-23 21:35:42,Bill,BIV-240498,,Error,Error processing document: [Errno 32] Broken pipe,2584
2025-11-23 21:35:44,Invoice,BIV-240499,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2583
2025-11-23 21:35:44,Bill,BIV-240499,,Error,Error processing document: [Errno 32] Broken pipe,2583
2025-11-23 21:35:45,Invoice,BIV-240500,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2582
2025-11-23 21:35:45,Bill,BIV-240500,,Error,Error processing document: [Errno 32] Broken pipe,2582
2025-11-23 21:35:46,Invoice,BIV-250003,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2581
2025-11-23 21:35:46,Bill,BIV-250003,,Error,Error processing document: [Errno 32] Broken pipe,2581
2025-11-23 21:35:46,Invoice,BIV-250004,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2580
2025-11-23 21:35:46,Bill,BIV-250004,,Error,Error processing document: [Errno 32] Broken pipe,2580
2025-11-23 21:35:47,Invoice,BIV-250011,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2579
2025-11-23 21:35:47,Bill,BIV-250011,,Error,Error processing document: [Errno 32] Broken pipe,2579
2025-11-23 21:35:49,Invoice,BIV-250012,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2578
2025-11-23 21:35:49,Bill,BIV-250012,,Error,Error processing document: [Errno 32] Broken pipe,2578
2025-11-23 21:35:50,Invoice,BIV-250023,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2577
2025-11-23 21:35:50,Bill,BIV-250023,,Error,Error processing document: [Errno 32] Broken pipe,2577
2025-11-23 21:35:51,Invoice,BIV-250028,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2576
2025-11-23 21:35:51,Bill,BIV-250028,,Error,Error processing document: [Errno 32] Broken pipe,2576
2025-11-23 21:35:52,Invoice,BIV-250029,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2575
2025-11-23 21:35:52,Bill,BIV-250029,,Error,Error processing document: [Errno 32] Broken pipe,2575
2025-11-23 21:35:53,Invoice,BIV-250034,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2574
2025-11-23 21:35:53,Bill,BIV-250034,,Error,Error processing document: [Errno 32] Broken pipe,2574
2025-11-23 21:35:55,Invoice,BIV-250051,บริษัท ธนโชติ คอนเน็คชั่น จำกัด (สำนักงานใหญ่),Success,Successfully processed,2573
2025-11-23 21:35:55,Bill,BIV-250051,,Error,Error processing document: [Errno 32] Broken pipe,2573
2025-11-23 21:35:56,Invoice,BIV-250052,บริษัท ธนโชติ คอนเน็คชั่น จำกัด (สำนักงานใหญ่),Success,Successfully processed,2572
2025-11-23 21:35:56,Bill,BIV-250052,,Error,Error processing document: [Errno 32] Broken pipe,2572
2025-11-23 21:35:57,Invoice,BIV-250057,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2571
2025-11-23 21:35:57,Bill,BIV-250057,,Error,Error processing document: [Errno 32] Broken pipe,2571
2025-11-23 21:35:58,Invoice,BIV-250058,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2570
2025-11-23 21:35:58,Bill,BIV-250058,,Error,Error processing document: [Errno 32] Broken pipe,2570
2025-11-23 21:36:01,Invoice,BIV-250059,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2569
2025-11-23 21:36:01,Bill,BIV-250059,,Error,Error processing document: [Errno 32] Broken pipe,2569
2025-11-23 21:36:03,Invoice,BIV-250073,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2568
2025-11-23 21:36:03,Bill,BIV-250073,,Error,Error processing document: [Errno 32] Broken pipe,2568
2025-11-23 21:36:03,Invoice,BIV-250097,บริษัท ธนโชติ คอนเน็คชั่น จำกัด (สำนักงานใหญ่),Error,Failed to process,2567
