Timestamp,Document Type,Document Number,Customer Name,Status,Message,Row Number
2025-11-23 21:34:11,Invoice,,,Error,Failed to process,2593
2025-11-23 21:34:12,Invoice,21/2/4611,Haitam Trading&Contruction,Error,Failed to process,2592
2025-11-23 21:34:13,Invoice,25/3/4611,Haitam Trading&Contruction,Error,Failed to process,2591
2025-11-23 21:34:13,Invoice,ADJ6612009,บริษัท เดอ ฟอเรส แลนด์ จำกัด (สำนักงานใหญ่),Error,Failed to process,2590
2025-11-23 21:34:14,Invoice,BIV-240067,บริษัท แอลเอช แอสเซท จำกัด,Error,Failed to process,2589
2025-11-23 21:34:15,Invoice,BIV-240131,บริษัท ก้าวต่อไป เฮ้าส์แอนด์ลิฟวิง จำกัด สำนักงานใหญ่,Error,Failed to process,2588
2025-11-23 21:34:15,Invoice,BIV-240284,บริษัท ช.ชยพลก่อสร้าง จำกัด (สำนักงานใหญ่),Error,Failed to process,2587
2025-11-23 21:34:16,Invoice,BIV-240285,บริษัท ช.ชยพลก่อสร้าง จำกัด (สำนักงานใหญ่),Error,Failed to process,2586
2025-11-23 21:34:16,Invoice,BIV-240465,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2585
2025-11-23 21:34:17,Invoice,BIV-240498,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2584
2025-11-23 21:34:18,Invoice,BIV-240499,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2583
2025-11-23 21:34:18,Invoice,BIV-240500,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2582
2025-11-23 21:34:19,Invoice,BIV-250003,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2581
2025-11-23 21:34:19,Invoice,BIV-250004,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2580
2025-11-23 21:34:20,Invoice,BIV-250011,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2579
2025-11-23 21:34:21,Invoice,BIV-250012,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2578
2025-11-23 21:34:21,Invoice,BIV-250023,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Error,Failed to process,2577
