Timestamp,Document Type,Document Number,Customer Name,Status,Message,Row Number
2025-11-23 21:18:19,Invoice,,,Error,Failed to process,2593
2025-11-23 21:18:19,Bill,,,Error,Error processing document: [Errno 32] Broken pipe,2593
2025-11-23 21:18:21,Invoice,21/2/4611,Haitam Trading&Contruction,Success,Successfully processed,2592
2025-11-23 21:18:21,Bill,21/2/4611,,Error,Error processing document: [Errno 32] Broken pipe,2592
2025-11-23 21:18:22,Invoice,25/3/4611,Haitam Trading&Contruction,Success,Successfully processed,2591
2025-11-23 21:18:22,Bill,25/3/4611,,Error,Error processing document: [Errno 32] Broken pipe,2591
2025-11-23 21:18:24,Invoice,ADJ6612009,บริษัท เดอ ฟอเรส แลนด์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,2590
2025-11-23 21:18:24,Bill,ADJ6612009,,Error,Error processing document: [Errno 32] Broken pipe,2590
2025-11-23 21:18:25,Invoice,BIV-240067,บริษัท แอลเอช แอสเซท จำกัด,Success,Successfully processed,2589
2025-11-23 21:18:25,Bill,BIV-240067,,Error,Error processing document: [Errno 32] Broken pipe,2589
2025-11-23 21:18:26,Invoice,BIV-240131,บริษัท ก้าวต่อไป เฮ้าส์แอนด์ลิฟวิง จำกัด สำนักงานใหญ่,Success,Successfully processed,2588
2025-11-23 21:18:26,Bill,BIV-240131,,Error,Error processing document: [Errno 32] Broken pipe,2588
2025-11-23 21:18:27,Invoice,BIV-240284,บริษัท ช.ชยพลก่อสร้าง จำกัด (สำนักงานใหญ่),Success,Successfully processed,2587
2025-11-23 21:18:27,Bill,BIV-240284,,Error,Error processing document: [Errno 32] Broken pipe,2587
2025-11-23 21:18:28,Invoice,BIV-240285,บริษัท ช.ชยพลก่อสร้าง จำกัด (สำนักงานใหญ่),Success,Successfully processed,2586
2025-11-23 21:18:28,Bill,BIV-240285,,Error,Error processing document: [Errno 32] Broken pipe,2586
2025-11-23 21:18:30,Invoice,BIV-240465,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2585
2025-11-23 21:18:30,Bill,BIV-240465,,Error,Error processing document: [Errno 32] Broken pipe,2585
2025-11-23 21:18:31,Invoice,BIV-240498,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2584
2025-11-23 21:18:31,Bill,BIV-240498,,Error,Error processing document: [Errno 32] Broken pipe,2584
2025-11-23 21:18:32,Invoice,BIV-240499,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2583
2025-11-23 21:18:32,Bill,BIV-240499,,Error,Error processing document: [Errno 32] Broken pipe,2583
2025-11-23 21:18:33,Invoice,BIV-240500,บริษัท ไอดอล ซิสเท่ม จำกัด สำนักงานใหญ่,Success,Successfully processed,2582
2025-11-23 21:18:33,Bill,BIV-240500,,Error,Error processing document: [Errno 32] Broken pipe,2582
