Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-22 11:52:39,Bill,BGD-000001,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,217
2025-11-22 11:52:40,Bill,BGD-000002,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,218
2025-11-22 11:52:41,Bill,BGD-000003,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,219
2025-11-22 11:52:42,Bill,BGD-000004,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,220
2025-11-22 11:52:43,Bill,BGD-000033,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,221
2025-11-22 11:52:45,Bill,BGD-000259,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,222
2025-11-22 11:52:46,Bill,BGD-000415,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,223
2025-11-22 11:52:47,Bill,BGD-000480,แซด เอ็น พี ที จำกัด,Success,Successfully processed,224
2025-11-22 11:52:48,Bill,BGD-000615,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,225
2025-11-22 11:52:49,Bill,BGD-000635,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,226
2025-11-22 11:52:50,Bill,BGD-000659,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,227
2025-11-22 11:52:52,Bill,BGD-000884,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,228
2025-11-22 11:52:53,Bill,BGD-000899,ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ๊ง คอร์ปอเรชั่น จำกัด,Success,Successfully processed,229
2025-11-22 11:52:54,Bill,BGD-000926,ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ๊ง คอร์ปอเรชั่น จำกัด,Success,Successfully processed,230
2025-11-22 11:52:55,Bill,BGD-001631,"MIROTONE (THAILAND) CO., LTD.",Success,Successfully processed,231
2025-11-22 11:52:56,Bill,BGD-001645,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง จำกัด,Success,Successfully processed,232
2025-11-22 11:52:58,Bill,BGD-001656,"MIROTONE (THAILAND) CO., LTD.",Success,Successfully processed,233
2025-11-22 11:52:59,Bill,BGD-001658,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,234
2025-11-22 11:53:00,Bill,BGD-001660,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,235
