Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-22 11:32:34,Bill,BGD-000001,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,217
2025-11-22 11:32:35,Bill,BGD-000002,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,218
2025-11-22 11:32:37,Bill,BGD-000003,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,219
2025-11-22 11:32:41,Bill,BGD-000004,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,220
2025-11-22 11:32:43,Bill,BGD-000033,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,221
2025-11-22 11:32:45,Bill,BGD-000259,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,222
2025-11-22 11:32:47,Bill,BGD-000415,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,223
2025-11-22 11:32:49,Bill,BGD-000480,แซด เอ็น พี ที จำกัด,Success,Successfully processed,224
2025-11-22 11:32:51,Bill,BGD-000615,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,225
2025-11-22 11:32:52,Bill,BGD-000635,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,226
2025-11-22 11:32:54,Bill,BGD-000659,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,227
2025-11-22 11:32:56,Bill,BGD-000884,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,228
2025-11-22 11:32:58,Bill,BGD-000899,ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ๊ง คอร์ปอเรชั่น จำกัด,Success,Successfully processed,229
2025-11-22 11:33:00,Bill,BGD-000926,ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ๊ง คอร์ปอเรชั่น จำกัด,Success,Successfully processed,230
