Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-22 11:43:07,Bill,GI-0003310/3,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,484
2025-11-22 11:43:08,Bill,GI-0003310/4,บริษัท เอพี คาร์โก้ โลจิสติกส์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,485
2025-11-22 11:43:09,Bill,GI-0003310/5,บริษัท เอพี คาร์โก้ โลจิสติกส์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,486
2025-11-22 11:43:11,Bill,GI-0003310/6,บริษัท เอพี คาร์โก้ โลจิสติกส์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,487
2025-11-22 11:43:12,Bill,GI-0003311/1,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,488
2025-11-22 11:43:13,Bill,GI-0003311/2,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,489
2025-11-22 11:43:14,Bill,GI-0003311/3,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,490
2025-11-22 11:43:15,Bill,GI-0003311/4,บริษัท ฟีลิกซ์ เฟรท แอนด์ โลจิสติกส์ จำกัด(สำนักงานใหญ่),Success,Successfully processed,491
2025-11-22 11:43:17,Bill,GI-0003311/5,บริษัท ฟีลิกซ์ เฟรท แอนด์ โลจิสติกส์ จำกัด(สำนักงานใหญ่),Success,Successfully processed,492
2025-11-22 11:43:18,Bill,GI-0003311/6,บริษัท เอพี คาร์โก้ โลจิสติกส์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,493
2025-11-22 11:43:20,Bill,GI-0003311/7,บริษัท เอพี คาร์โก้ โลจิสติกส์ จำกัด (สำนักงานใหญ่),Success,Successfully processed,494
2025-11-22 11:43:21,Bill,GI-0003312/1,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,495
2025-11-22 11:43:22,Bill,GI-0003312/2,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,496
2025-11-22 11:43:23,Bill,GI-0003312/3,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,497
2025-11-22 11:43:25,Bill,GI-0003312/4,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,498
2025-11-22 11:43:26,Bill,GI-0003312/5,บริษัท บีเอฟ ทรานสปอร์ต จำกัด ( สำนักงานใหญ่ ),Success,Successfully processed,499
