Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-22 11:51:46,Refund,BCNS0000003,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,2
2025-11-22 11:51:47,Refund,BCNS0000004,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,3
2025-11-22 11:51:49,Refund,BCNS0000005,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,4
2025-11-22 11:51:50,Refund,BCNS0000006,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,5
2025-11-22 11:51:51,Refund,BCNS0000007,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,6
2025-11-22 11:51:52,Refund,BCNS0000008,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,7
2025-11-22 11:51:54,Refund,BCNS0000009,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,8
2025-11-22 11:51:55,Refund,BCNS0000010,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,9
2025-11-22 11:51:56,Refund,BCNS0000011,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,10
2025-11-22 11:51:57,Refund,BCNS0000012,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,11
2025-11-22 11:51:58,Refund,BCNS0000013,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,12
2025-11-22 11:52:00,Refund,BCNS0000014,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,13
2025-11-22 11:52:01,Refund,CNS0000002,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,14
2025-11-22 11:52:02,Refund,CNS0000003,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,15
2025-11-22 11:52:03,Refund,PR5404116,วี พี เค ยูไนเต็ด จำกัด,Success,Successfully processed,16
2025-11-22 11:52:05,Refund,PR5508023,ที.โอ.พรอฟิท จำกัด,Success,Successfully processed,17
2025-11-22 11:52:06,Refund,PV5511067,โปรดีเคล จำกัด,Success,Successfully processed,18
2025-11-22 11:52:07,Refund,SR6810002,บริษัท แพนเอเชียอุตสาหกรรม จำกัด (สำนักงานใหญ่),Success,Successfully processed,19
