Timestamp,Document Type,Document Number,Vendor Name,Status,Message,Row Number
2025-11-22 11:27:50,Bill,BGD-000001,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,217
2025-11-22 11:27:51,Bill,BGD-000002,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,218
2025-11-22 11:27:52,Bill,BGD-000003,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,219
2025-11-22 11:27:53,Bill,BGD-000004,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,220
2025-11-22 11:27:54,Bill,BGD-000033,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,221
2025-11-22 11:27:55,Bill,BGD-000259,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,222
2025-11-22 11:27:56,Bill,BGD-000415,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,223
2025-11-22 11:27:57,Bill,BGD-000480,แซด เอ็น พี ที จำกัด,Success,Successfully processed,224
2025-11-22 11:27:58,Bill,BGD-000615,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,225
2025-11-22 11:27:59,Bill,BGD-000635,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,226
2025-11-22 11:28:00,Bill,BGD-000659,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,227
2025-11-22 11:28:02,Bill,BGD-000884,ไอดอล  ซิสเท่ม  จำกัด,Success,Successfully processed,228
2025-11-22 11:28:03,Bill,BGD-000899,ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ๊ง คอร์ปอเรชั่น จำกัด,Success,Successfully processed,229
2025-11-22 11:28:05,Bill,BGD-000926,ทีโอเอ เพอฟอร์มมานซ์ โค๊ทติ๊ง คอร์ปอเรชั่น จำกัด,Success,Successfully processed,230
2025-11-22 11:28:05,Bill,BGD-001631,"MIROTONE (THAILAND) CO., LTD.",Success,Successfully processed,231
2025-11-22 11:28:06,Bill,BGD-001645,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง จำกัด,Success,Successfully processed,232
2025-11-22 11:28:07,Bill,BGD-001656,"MIROTONE (THAILAND) CO., LTD.",Success,Successfully processed,233
2025-11-22 11:28:08,Bill,BGD-001658,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,234
2025-11-22 11:28:09,Bill,BGD-001660,พี.เอส.เอ็ม.ฮาร์ดแวร์ จำกัด,Success,Successfully processed,235
2025-11-22 11:28:10,Bill,BGD-001676,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,236
2025-11-22 11:28:11,Bill,BGD-001677,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,237
2025-11-22 11:28:12,Bill,BGD-001678,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,238
2025-11-22 11:28:13,Bill,BGD-001687,บริษัท ไมโรโทน (ประเทศไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,239
2025-11-22 11:28:14,Bill,BGD-001695,บริษัท ไมโรโทน (ประเทศไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,240
2025-11-22 11:28:15,Bill,BGD-001702,บริษัท ไมโรโทน (ประเทศไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,241
2025-11-22 11:28:16,Bill,BGD-001712,บริษัท ไมโรโทน (ประเทศไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,242
2025-11-22 11:28:17,Bill,BGD-001734,บริษัท ไมโรโทน (ประเทศไทย) จำกัด (สำนักงานใหญ่),Success,Successfully processed,243
2025-11-22 11:28:19,Bill,BGD-001766,บริษัท ย่งง้วนเหล็กกล้า จำกัด (สำนักงานใหญ่),Success,Successfully processed,244
