default_code,name,type
FMP1055BU-N,,component
FMP1055BU-N,,component
FU1050P1,,component
FU1050K,,component
FU1050K,,component
FU1050P1,,component
FU1050P1,,component
FU055C2K,,component
FU055P1,,component
FU055C2K,,component
FU055C2K,,component
FU055P1,,component
FU055C2K,,component
FU055P1,,component
FU055C2K,,component
FU055C2K,,component
FU055P1,,component
FU055C2K,,component
FU055P1,,component
FU055C2K,,component
FU055P1,,component
FU055C2K,,component
FU1050P1,,component
FU1050K,,component
FU1050P1,,component
FU1050P1,,component
FU060K,,component
FU060K,,component
F18A60L4,,component
FU060K,,component
F18A60L4,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
MAC02,,component
MAC01,,component
F16080KV,,component
F18090G1,,component
F19120V2G1,,component
MAC07A/L,,component
MAC07B/L,,component
MAC07B/R,,component
F20075V2,,component
F21140D,,component
F25060G4,,component
F25060P14,,component
FM0060V10T8,,component
MA024,,component
MA033,,component
F6070K8,,component
MA083,,component
MA154,,component
F1075#B,,component
F37080G1,,component
F1075#A,,component
F1075#A,,component
F1075#A,,component
F1075#A,,component
FM1055BE-N,,component
FM1055RP,,component
FM1055BE-N,,component
FM1055RP,,component
FM1055RP,,component
FM1055RP,,component
FM1055RP,,component
FM1055RP,,component
FM1055BE-N,,component
FM1055RP,,component
FM055V11,,component
FM055V11,,component
FM1055RP,,component
FM1055RP,,component
FM1055RP,,component
FM1055RP,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU055C2K,,component
FU1050P1,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FU060K,,component
FP43080-SP3,,component
F18090G1,,component
F20075V2,,component
F21140D,,component
FU27075P,,component
FU52150C2,,component
FTS52150C2,,component
FCA01C#W,,component
FCA01C#W,,component
FCA01C#W,,component
MLC01,,component
MLC01,,component
MLC02,,component
MLC04,,component
MLC05,,component
MLC06,,component
MLC08,,component
MLC07,,component
MA014,,component
MA014,,component
MA014,,component
MA014,,component
MA024,,component
MA024,,component
MA033,,component
MA362,,component
MA083,,component
FT8055,,component
MA091,,component
MA094,,component
MA154,,component
MA154,,component
MA154,,component
MA154,,component
MA154,,component
MA161,,component
MA161,,component
MA014,,component
MA014,,component
MA014,,component
MA204,,component
MA351,,component
MA035,,component
MA048,,component
MA048,,component
MA048,,component
FT57165,,component
MA063,,component
MA063,,component
FT8055,,component
FT8090,,component
MA083,,component
MA154,,component
MA153,,component
MA161,,component
MA183#A,,component
MA183#A,,component
MA183#A,,component
MA183#A,,component
MA183#A,,component
MA183#A,,component
MA024,,component
MA204,,component
MA343,,component
MA372-L,,component
MA048,,component
MA048,,component
MA048,,component
MA422,,component
MA422,,component
IE03,,component
IM02,,component
IE03,,component
IE03,,component
IM02,,component
FV001,,component
FV001,,component
FCA74C,,component
W01,,component
W02,,component
W03,,component
W04,,component
W05,,component
MWH02,,component
MWH03,,component
M6040_WH,,component
M6040_WH,,component
NOLTE_W4060_L_HE,,component
NOLTE_W4060_L_HE,,component
NOLTE_4060_HE,,component
NOLTE_4060_WW,,component
NOLTE_4060_1D_HE,,component
NOLTE_4060_1D_WW,,component
NX4AW10T1-2,,component
NX4AW10T1-1,,component
NX4F15089F,,component
NX4F16060C,,component
NX4F4052F,,component
NX4F6120C,,component
NX4F6070K8,,component
NX4F6200S,,component
NX4F1060B,,component
NX4F1090D,,component
NX4F1090B,,component
NX4F1120B,,component
NX4FT15070F,,component
NX4F15070K,,component
NX4F15070C,,component
NX4F1090DS,,component
NX4F1060B-N,,component
NX4F2060F,,component
NX4F2090A,,component
NX4F2120B,,component
NX4F3090D,,component
NX4F3120D,,component
NX4F34045K-N,,component
NX4F34075P,,component
NX4F15380F,,component
NX4F4052K,,component
NX4F6060L4,,component
NX4F4120E,,component
NX4F43076KV,,component
NX4F48070Y,,component
NX4F5060D,,component
NX4F5060C,,component
NX4F5090D,,component
NX4F5090C,,component
NX4F5047L2,,component
NX4F5047L4,,component
NX4F5047L4,,component
NX4F6060L4,,component
NX4F6060L4,,component
NX4F6060F,,component
NX4F6090D,,component
NX4F6120D,,component
NX4F9060C,,component
NX4F9052GK-N,,component
NX4F10060F,,component
NX4F11060/8F,,component
NX4F13090F,,component
NX4F15090C,,component
NX4F15090F,,component
NX4F15080C,,component
NX4F15080C,,component
NX4F15052E,,component
NX4F15090H-N,,component
NX4F15090C-N,,component
NX4F15090F-N,,component
NX4F15080C-N,,component
NX4F15080G-N,,component
NX4F16090F,,component
NX4F19060C,,component
NX4F20060C,,component
NX4F2090G,,component
NX4F34045K,,component
NX4F34045W,,component
NX4F15360C,,component
NX4F15380D,,component
NX4F35053G,,component
NX4F36026L,,component
NX4F43055L,,component
NX4F43055L,,component
NX4F48060F,,component
NX4F48070U,,component
NX4F48070S,,component
NX0503,,component
NX0503,,component
NX0503,,component
NX0503,,component
NX0523,,component
NX0533,,component
NX4F5090F,,component
NX0603#BL,,component
NX4F6090F,,component
NX4F15100C,,component
NX4F18A60F,,component
NX4F19060F1,,component
NX4F19060F,,component
NX4F19060G,,component
NX4F2090B1,,component
NX4F34045F-N,,component
NX4F35053G,,component
NX4F4035G,,component
NX4F4052G,,component
NX4FM34045U7,,component
NX4FM35053S7,,component
NX0503,,component
NX4FP43058G#B-L,,component
NX0503,,component
NX0503,,component
NX0503,,component
NX0503,,component
NX0503,,component
NX4FT15120/1,,component
NX4FTS35083,,component
NX0523,,component
NX0533,,component
NX4FU5080WO2,,component
NX4FU5055WO2-N,,component
NX4FU15080F-N,,component
NX4FU15120C-N,,component
NX4FU18A60F,,component
NX4FU33034F2,,component
NX4FU33034WO2,,component
NX0332,,component
NX4FU34045G,,component
NX4FU34075P,,component
NX4FU35053G,,component
NX4FU35053G,,component
NX4FU35053U3,,component
NX4FU35053K2,,component
NX4FTS35150,,component
NX4FU36027,,component
NX4FU36029-L,,component
NX4FU36029-R,,component
NX4FU4052G,,component
NX4FU42043,,component
NX4FU43058P#A2,,component
NX4FU43058C2#B-L,,component
NX4FU43058U3#B-L,,component
NX4FU43058D#B-L,,component
NX4FU43058P#B-R,,component
NX4FU43076S1,,component
NX4FU43076K2,,component
NX4FT48140,,component
NX4FT48140,,component
NX0503,,component
NX0513,,component
NX0523,,component
NX0523,,component
NX0533,,component
NX0533,,component
NX0641,,component
NX0651,,component
NX0651,,component
NX4FU33059P#A-L,,component
NX4FU33059P#B-L,,component
NX4FU43058P#A,,component
NX4FU43058P#B-L,,component
NX4FU43058P#B2-L,,component
NX4F5080PD,,component
NX4F5080PD,,component
NX4F25080S,,component
NX4F54070F,,component
NX4F25090F,,component
NX4F25090Y,,component
NX4F25120F,,component
NX4F25110U,,component
NX4F37080G1,,component
NX4F54070K,,component
NX4F54070S,,component
NX4F23073Y,,component
NX4F23073U,,component
NX4F54080S,,component
NX4F56120T,,component
NX4F56100U,,component
NX4F56100T,,component
NX4FP25080F,,component
NX4FP25090F,,component
NX4FU25080S,,component
NX4FU5080U3,,component
NX4FU5080S1,,component
NX4FU54080S,,component
NX4FU56100U,,component
NX4FU055P1,,component
NX4FU055C2K,,component
NX4F5100D,,component
NX4F5100P,,component
NX4F18090G1,,component
NX4F19120V2G1,,component
NX4F20075V2,,component
NX4F21140D,,component
NXMAC07A/L,,component
NX4F7090D,,component
NX4F6150C,,component
NX4F27045U,,component
NX4F27045Y,,component
NX4F19120V2G1,,component
NX4FU27075P,,component
NX4F1060G,,component
NX4F2060B,,component
NX4F2060G,,component
NX4F2090B,,component
NX4F2090G,,component
NX4F2120A,,component
NX4F36033KW,,component
NX4F4060E,,component
NX4F4090C,,component
NX4F4090E,,component
NX4F5120D,,component
NX4F5090F,,component
NX4F6060Dเฟอร์นิเจอร์,,component
NX4F6090F,,component
NX4F6120F,,component
NX4F15090G,,component
NX4F15090PP,,component
NX4F15080F,,component
NX4F19090C,,component
NX4F1090D,,component
NX4F1090B,,component
NX4F1120B,,component
NX4F20060F,,component
NX4F20090F,,component
NX4F20080F,,component
NX4F2120B1,,component
NX4F2185B,,component
NX4F2090A,,component
NX4F15360D,,component
NX4F5090C,,component
NX4F6120F,,component
NX4F6120K,,component
NX4F10060LC,,component
NX4F15080F1,,component
NX4F15090F,,component
NX4F15090C,,component
NX4F19060RF1,,component
NX4F19060RG,,component
NX4F19060F,,component
NX4F19090F,,component
NX4F20080T,,component
NX4F2120B1,,component
NX4F15380C,,component
NX4F37035KW,,component
NX4F4052G,,component
NX5SP332,,component
NXMLC10,,component
NXMLC02,,component
NXMLC03,,component
NXMLC04,,component
NXMLC06,,component
NX5FCA11C,,component
NXMLC07,,component
NX5SP71,,component
NX5SP71,,component
RYLIE_4060_1D_WW,,component
M6040_WH,,component
M6040_WH,,component
RYLIE_W4060_L_WW,,component
RYLIE_W4060_L_HE,,component
RYLIE_W4060_L_WW,,component
RYLIE_W4060_L_HE,,component
RYLIE_4060_1D_WW,,component
RYLIE_4060_1D_WW,,component
EAL11N,,component
EAL01N,,component
MA142,,component
MA212,,component
MO25,,component
MA172,,component
MO49EX,,component
MO51,,component
MO65,,component
MO69,,component
MA362,,component
ACS042,,component
MA422,,component
MA072,,component
MA212,,component
ACS541C,,component
MA212,,component
MA092,,component
MA503,,component
AC01,,component
AC23,,component
AC01,,component
AC02,,component
ACS02,,component
ACS47,,component
ACS4825,,component
ACS4825,,component
ERS02N1,,component
FCA08C,,component
FCA96C,,component
FCF03,,component
LA21070G-L3,,component
FCA08C,,component
F6060L4,,component
FP50047U-N,,component
FCA05C,,component
FU36029-L,,component
FCA11C,,component
FP25090F,,component
FP25090F,,component
FMP1055BU-N,,component
FMP1055PK,,component
MA063,,component
MA142,,component
MA212,,component
MA362,,component
MA443,,component
FCB09M,,component
FCB07M,,component
FCB07M,,component
MI030,,component
AC02,,component
MA292,,component
MU02,,component
MU04,,component
NX5MI271,,component
RS05#B,,component
RS08#BL,,component
RS02#B,,component
SP212,,component
SP35,,component
SWH08#BL,,component
SWH09,,component
SW301U5,,component
SW301T1,,component
AC13,,component
F34045K-N,,component
ACS21L,,component
NX4FU35053G,,component
